sample_id	read_id	read_len	read_qscore	channel	start_time	end_time	decision	fastp_status	is_mapped	is_uniq	contig_id
sample	0efb864e-201f-4925-9a11-04fefe4a6079	466	8.803781	259	158.1015	159.59449999999998	data_service_unblock_mux_change	False	False	True	
sample	45a81d92-e5cc-49ab-8cdb-96d5401a0a12	368	10.858293	223	158.40475	159.856	data_service_unblock_mux_change	True	True	True	1_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon
sample	e0aca324-33e5-440e-a7b9-e2e9c8dfd98f	498	9.946898	93	158.0865	159.5945	data_service_unblock_mux_change	True	True	True	1_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon
sample	57b94742-522e-4521-bd95-7cefc76cf556	3457	8.321539	82	153.19475	160.16325	signal_positive	False	False	True	
sample	997035fb-3c6a-41fe-88aa-9cd2b82a53d3	398	9.882115	59	158.79225	160.23975	data_service_unblock_mux_change	False	False	True	
sample	9653e756-947e-49fd-89dc-cd5f09e23b8b	455	11.132118	53	157.94525	159.58775	signal_negative	True	True	True	1_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon
sample	61296e93-f7d1-48fb-9fe3-90675ffa032d	462	9.259120	4	158.2945	159.77925	data_service_unblock_mux_change	False	False	True	
sample	2fe510f1-f45b-4d3d-8efc-e39bb5f6c611	295	11.929199	438	160.1415	161.55575000000002	signal_negative	True	False	True	
sample	e4605788-4d76-4f80-967e-b1fab71abe01	570	8.188725	396	159.918	161.40275	data_service_unblock_mux_change	False	False	True	
sample	7370e9b2-de49-41df-bc47-44e62f989f63	460	8.022480	371	160.13275	161.5615	data_service_unblock_mux_change	False	False	True	
sample	ad9d3cb3-5cbd-4f98-8479-f2abc746a186	455	10.078335	127	159.682	161.15425	data_service_unblock_mux_change	False	False	True	
sample	27d5b446-6fe9-4b2e-b3e2-86d10755917d	522	9.861707	484	159.5695	160.93875	data_service_unblock_mux_change	False	False	True	
sample	eaf94556-387a-420b-a3a8-cbb3a119fba0	800	10.496186	216	158.51875	161.08775	signal_positive	True	True	True	NC_001416.1
sample	02b51bb6-dae8-4869-818c-62fdbf7d03a6	558	8.227369	234	159.13025	160.75725	signal_negative	False	False	True	
sample	eb6e3801-5814-41be-a9d2-fe4c6ab54b1b	604	9.487175	195	159.1955	160.76225000000002	data_service_unblock_mux_change	False	False	True	
sample	ccd6ae1f-897c-45bd-9fc9-f645df44c65c	456	9.300582	189	159.195	160.76225	data_service_unblock_mux_change	False	False	True	
sample	82604985-beb4-4db5-b69b-e7e577429eeb	373	10.181527	180	159.2585	160.76225	data_service_unblock_mux_change	False	False	True	
sample	55b87cb4-21d9-4ab8-92ae-d26c7a0ad447	108	9.062703	102	160.16425	160.711	signal_positive	False	False	True	
sample	e4ad75dc-3bae-4535-beba-9b407bb0e06c	518	8.654372	88	159.64475	161.15425	data_service_unblock_mux_change	False	False	True	
sample	2c0abba9-e4f8-437a-af5f-a8ad38e51d9d	408	11.136852	14	159.204	160.76225	data_service_unblock_mux_change	True	True	True	1_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon
sample	31429066-fc6a-4486-921f-103ad36d1ad6	1886	8.541327	13	157.17875	161.008	signal_positive	False	False	True	
sample	d50bd75f-f114-41e2-b4c2-02ad5d09c3e0	495	10.220709	51	159.72525	161.15425	data_service_unblock_mux_change	False	False	True	
sample	71bc5e56-e595-4a88-985e-14610e9e28ec	432	9.144070	47	159.77425	161.15425	data_service_unblock_mux_change	False	False	True	
sample	3059e685-58d1-4adb-b11f-f9fdaef791b4	406	10.964840	116	160.06425	161.5615	data_service_unblock_mux_change	True	True	True	1_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon_pilon
sample	a47f2cb2-44b1-4c34-82ed-f36b42bf5bd0	647	10.121902	469	160.64	162.42125	data_service_unblock_mux_change	False	False	True	
